day,home,inpatient_ward,intensive_care_unit,death,recovered
0,861,30,15,0,53
1,829,40,16,0,65
2,787,45,17,0,74
3,758,44,20,1,51
4,704,46,21,1,57
5,658,48,21,0,60
6,589,45,25,0,76
7,540,50,25,0,52
8,517,51,24,0,41
9,498,56,25,0,42
10,465,60,19,0,38
11,438,63,21,0,38
12,400,62,22,0,51
13,376,64,22,0,35
14,357,61,20,0,30
15,326,62,20,1,31
16,300,62,20,0,33
17,273,66,22,0,22
18,255,67,17,0,26
19,235,66,16,0,23
20,228,67,16,0,17
21,224,57,18,0,12
22,209,50,18,1,22
23,187,46,18,0,28
24,167,50,17,0,17
25,158,46,19,0,12
26,144,43,18,0,20
27,133,42,19,1,12
0,825,28,11,0,64
1,778,33,12,0,63
2,740,39,11,0,59
3,705,44,11,0,65
4,660,51,10,0,51
5,616,55,9,0,53
6,594,57,13,0,55
7,558,57,13,0,57
8,526,57,17,0,39
9,483,54,18,0,54
10,442,53,19,0,50
11,415,49,21,0,42
12,399,50,21,0,29
13,368,50,20,0,43
14,330,47,20,0,44
15,319,48,22,0,27
16,302,49,22,0,27
17,278,53,20,0,23
18,266,54,20,0,22
19,244,53,19,0,25
20,226,50,24,0,17
21,209,46,25,0,21
22,199,44,21,0,17
23,189,38,23,0,14
24,173,45,18,1,14
25,157,48,17,0,14
26,153,41,18,1,12
27,140,41,18,0,13
0,854,32,9,0,59
1,783,39,7,0,84
2,728,48,9,1,68
3,731,47,11,0,65
4,716,49,14,1,41
5,693,49,18,0,45
6,692,51,22,0,59
7,646,52,20,0,58
8,628,52,22,0,35
9,581,52,24,0,50
10,541,55,23,0,55
11,488,56,25,1,50
12,454,61,24,1,39
13,414,75,20,1,31
14,400,74,17,0,25
15,371,74,19,0,28
16,335,74,18,0,39
17,311,67,19,0,39
18,280,72,20,0,27
19,249,67,23,0,34
20,212,72,18,0,37
21,203,72,14,0,15
22,191,73,14,1,12
23,177,72,15,0,24
24,167,64,18,1,15
25,158,59,18,0,14
26,146,51,16,0,22
27,136,49,14,0,14
0,822,31,14,0,69
1,775,40,13,0,68
2,726,42,15,0,82
3,719,46,17,0,55
4,671,49,20,1,49
5,660,48,20,1,43
6,591,56,18,0,67
7,558,59,20,0,60
8,524,66,17,0,39
9,499,68,18,1,34
10,486,69,18,0,31
11,472,67,19,0,34
12,438,57,23,0,46
13,406,57,25,0,40
14,384,60,28,1,31
15,348,63,28,0,35
16,321,66,26,1,28
17,290,68,26,0,35
18,276,64,23,2,24
19,267,58,26,1,20
20,248,62,23,0,19
21,230,62,23,0,19
22,217,58,24,0,18
23,199,59,22,0,20
24,187,57,23,2,11
25,181,55,21,0,14
26,171,51,21,0,16
27,165,48,20,0,10
0,832,34,11,0,61
1,808,36,13,1,68
2,747,37,18,0,66
3,696,43,15,0,58
4,645,45,17,0,57
5,627,50,17,0,45
6,593,55,19,0,58
7,568,57,17,0,56
8,540,56,17,0,38
9,505,54,18,1,50
10,466,60,18,1,37
11,455,55,25,0,35
12,408,58,25,0,55
13,370,65,22,2,34
14,333,65,22,0,37
15,303,69,24,0,27
16,293,64,25,0,28
17,281,57,25,1,21
18,269,53,24,0,23
19,249,57,22,0,19
20,226,58,20,0,26
21,211,52,22,0,21
22,192,51,22,1,21
23,175,50,19,1,21
24,164,50,20,0,11
25,150,53,18,0,15
26,141,48,18,1,14
27,130,38,22,0,17
0,822,27,10,0,73
1,775,33,11,0,78
2,714,37,17,0,74
3,688,39,16,0,63
4,668,51,15,1,48
5,613,53,16,0,61
6,563,54,19,0,53
7,534,59,21,0,54
