day,home,inpatient_ward,intensive_care_unit,death,recovered
0,980,28,8,0,45
1,971,31,11,0,58
2,955,37,12,0,59
3,934,41,16,0,60
4,892,52,20,0,69
5,850,59,21,0,71
6,817,71,16,0,59
7,793,76,16,1,47
8,761,73,18,1,58
9,728,72,20,0,55
10,691,67,21,0,60
11,639,65,21,0,72
12,587,63,25,0,65
13,543,61,24,1,59
0,970,29,9,1,52
1,973,30,11,0,49
2,961,33,12,0,58
3,932,45,14,0,62
4,897,50,18,0,68
5,864,57,17,0,64
6,828,63,19,0,61
7,787,71,22,0,59
8,734,66,33,0,73
9,696,60,41,1,58
10,652,62,41,3,58
11,602,69,39,0,63
12,556,68,42,0,59
13,502,73,40,1,63
0,978,33,9,0,41
1,975,37,10,1,52
2,950,45,11,0,66
3,915,50,17,0,71
4,883,56,20,0,65
5,849,58,21,0,68
6,817,63,22,0,59
7,793,58,26,1,53
8,742,68,30,0,63
9,705,69,34,0,55
10,650,72,35,0,70
11,596,76,37,1,65
12,559,72,37,0,56
13,521,79,32,0,49
0,978,31,6,0,46
1,986,32,10,0,42
2,957,42,15,0,64
3,919,49,17,0,76
4,866,61,17,0,83
5,835,65,17,0,64
6,801,72,20,0,57
7,786,69,25,0,42
8,751,70,31,0,54
9,706,68,29,0,72
10,645,71,31,2,73
11,605,72,32,1,55
12,563,79,30,0,52
13,526,75,34,1,49
0,978,24,8,0,51
1,965,32,12,0,56
2,960,40,11,0,48
3,927,46,10,1,74
4,889,52,15,0,69
5,847,60,14,0,72
6,809,60,22,0,63
7,790,58,24,1,47
8,753,56,27,1,61
9,713,56,27,1,62
10,670,56,25,1,63
11,630,53,26,0,60
12,588,47,31,1,57
13,548,54,30,0,47
0,973,31,8,0,49
1,983,33,9,0,42
2,971,35,12,0,57
3,946,43,11,1,64
4,908,46,15,0,73
5,848,69,13,0,76
6,817,73,14,0,59
7,800,65,21,1,46
8,777,64,18,1,52
9,739,57,19,0,67
10,696,57,23,0,58
11,640,61,26,0,67
