age_group_simple,state,type,state_duration,count
0-50,home,censored,2,27
0-50,home,censored,3,26
0-50,home,censored,4,21
0-50,home,censored,5,32
0-50,home,censored,6,50
0-50,home,censored,7,59
0-50,home,censored,8,49
0-50,home,censored,9,49
0-50,home,censored,10,37
0-50,home,censored,11,72
0-50,home,censored,12,65
0-50,home,censored,13,38
0-50,home,censored,14,44
0-50,home,censored,15,24
0-50,home,censored,16,15
0-50,home,censored,17,6
0-50,home,censored,18,21
0-50,home,censored,19,9
0-50,home,censored,20,6
0-50,home,censored,21,11
0-50,home,censored,22,3
0-50,home,censored,23,1
0-50,home,censored,24,2
0-50,home,censored,27,1
0-50,home,censored,28,1
0-50,home,imputed,1,1
0-50,home,imputed,3,3
0-50,home,imputed,4,10
0-50,home,imputed,5,5
0-50,home,imputed,6,5
0-50,home,imputed,7,2
0-50,home,imputed,8,26
0-50,home,imputed,9,5
0-50,home,imputed,10,12
0-50,home,imputed,11,13
0-50,home,imputed,12,26
0-50,home,imputed,13,36
0-50,home,imputed,14,393
0-50,home,imputed,15,158
0-50,home,imputed,16,80
0-50,home,imputed,17,80
0-50,home,imputed,18,51
0-50,home,imputed,19,44
0-50,home,imputed,20,55
0-50,home,imputed,21,2
0-50,home,imputed,22,37
0-50,home,imputed,23,20
0-50,home,imputed,24,1
0-50,home,imputed,25,16
0-50,home,imputed,26,7
0-50,home,imputed,27,4
0-50,home,imputed,28,1
0-50,home,uncensored,1,1
0-50,home,uncensored,3,3
0-50,home,uncensored,4,9
0-50,home,uncensored,5,4
0-50,home,uncensored,6,4
0-50,home,uncensored,7,2
0-50,home,uncensored,8,15
0-50,home,uncensored,9,1
0-50,home,uncensored,10,9
0-50,home,uncensored,11,6
0-50,home,uncensored,12,12
0-50,home,uncensored,13,15
0-50,home,uncensored,14,166
0-50,home,uncensored,15,66
0-50,home,uncensored,16,34
0-50,home,uncensored,17,28
0-50,home,uncensored,18,17
0-50,home,uncensored,19,10
0-50,home,uncensored,20,10
0-50,home,uncensored,21,1
0-50,home,uncensored,22,5
0-50,home,uncensored,23,3
0-50,home,uncensored,25,1
0-50,home,uncensored,26,1
0-50,home,uncensored,27,1
0-50,inpatient_ward,imputed,1,4
0-50,inpatient_ward,imputed,2,1
0-50,inpatient_ward,imputed,3,2
0-50,inpatient_ward,imputed,4,2
0-50,inpatient_ward,imputed,5,2
0-50,inpatient_ward,uncensored,1,4
0-50,inpatient_ward,uncensored,2,1
0-50,inpatient_ward,uncensored,3,2
0-50,inpatient_ward,uncensored,4,2
0-50,inpatient_ward,uncensored,5,2
0-50,intensive_care_unit,censored,8,1
0-50,intensive_care_unit,imputed,2,1
0-50,intensive_care_unit,imputed,10,1
0-50,intensive_care_unit,uncensored,2,1
51+,home,censored,2,2
51+,home,censored,3,9
51+,home,censored,4,24
51+,home,censored,5,19
51+,home,censored,6,12
51+,home,censored,7,20
51+,home,censored,8,20
51+,home,censored,9,13
51+,home,censored,10,10
51+,home,censored,11,30
51+,home,censored,12,30
51+,home,censored,13,25
51+,home,censored,14,14
51+,home,censored,15,14
51+,home,censored,16,9
51+,home,censored,17,2
51+,home,censored,18,5
51+,home,censored,19,6
51+,home,censored,20,4
51+,home,censored,21,4
51+,home,censored,22,1
51+,home,censored,24,3
51+,home,imputed,1,13
51+,home,imputed,2,8
51+,home,imputed,3,6
51+,home,imputed,4,3
51+,home,imputed,5,5
51+,home,imputed,6,7
51+,home,imputed,7,3
51+,home,imputed,8,17
51+,home,imputed,9,3
51+,home,imputed,10,4
51+,home,imputed,11,5
51+,home,imputed,12,6
51+,home,imputed,13,14
51+,home,imputed,14,149
51+,home,imputed,15,41
51+,home,imputed,16,44
51+,home,imputed,17,53
51+,home,imputed,18,27
51+,home,imputed,19,20
51+,home,imputed,20,32
51+,home,imputed,21,1
51+,home,imputed,22,8
51+,home,imputed,23,9
51+,home,imputed,24,5
51+,home,imputed,25,6
51+,home,imputed,26,6
51+,home,imputed,27,1
51+,home,uncensored,1,13
51+,home,uncensored,2,8
51+,home,uncensored,3,6
51+,home,uncensored,4,3
51+,home,uncensored,5,4
51+,home,uncensored,6,6
51+,home,uncensored,7,3
51+,home,uncensored,8,10
51+,home,uncensored,9,3
51+,home,uncensored,10,3
51+,home,uncensored,11,5
51+,home,uncensored,12,3
51+,home,uncensored,13,6
51+,home,uncensored,14,59
51+,home,uncensored,15,15
51+,home,uncensored,16,18
51+,home,uncensored,17,18
51+,home,uncensored,18,8
51+,home,uncensored,19,6
51+,home,uncensored,20,13
51+,home,uncensored,21,1
51+,home,uncensored,22,2
51+,home,uncensored,23,3
51+,home,uncensored,24,1
51+,home,uncensored,25,2
51+,home,uncensored,26,1
51+,inpatient_ward,censored,3,1
