state,age_group_simple,censored,state_duration,count
home,0-50,FALSE,1,1
home,0-50,FALSE,3,3
home,0-50,FALSE,4,8
home,0-50,FALSE,5,5
home,0-50,FALSE,6,4
home,0-50,FALSE,7,2
home,0-50,FALSE,8,15
home,0-50,FALSE,9,1
home,0-50,FALSE,10,10
home,0-50,FALSE,11,9
home,0-50,FALSE,12,17
home,0-50,FALSE,13,21
home,0-50,FALSE,14,207
home,0-50,FALSE,15,70
home,0-50,FALSE,16,48
home,0-50,FALSE,17,32
home,0-50,FALSE,18,23
home,0-50,FALSE,19,15
home,0-50,FALSE,20,15
home,0-50,FALSE,21,2
home,0-50,FALSE,22,9
home,0-50,FALSE,23,3
home,0-50,FALSE,25,1
home,0-50,FALSE,26,1
home,0-50,FALSE,27,2
home,51+,FALSE,1,11
home,51+,FALSE,2,7
home,51+,FALSE,3,6
home,51+,FALSE,4,4
home,51+,FALSE,5,4
home,51+,FALSE,6,5
home,51+,FALSE,7,4
home,51+,FALSE,8,9
home,51+,FALSE,9,3
home,51+,FALSE,10,2
home,51+,FALSE,11,5
home,51+,FALSE,12,6
home,51+,FALSE,13,9
home,51+,FALSE,14,74
home,51+,FALSE,15,18
home,51+,FALSE,16,19
home,51+,FALSE,17,20
home,51+,FALSE,18,9
home,51+,FALSE,19,7
home,51+,FALSE,20,17
home,51+,FALSE,21,1
home,51+,FALSE,22,2
home,51+,FALSE,23,3
home,51+,FALSE,24,2
home,51+,FALSE,25,1
home,51+,FALSE,26,1
home,51+,FALSE,32,1
home,0-50,TRUE,2,7
home,0-50,TRUE,3,17
home,0-50,TRUE,4,21
home,0-50,TRUE,5,14
home,0-50,TRUE,6,56
home,0-50,TRUE,7,56
home,0-50,TRUE,8,60
home,0-50,TRUE,9,59
home,0-50,TRUE,10,48
home,0-50,TRUE,11,49
home,0-50,TRUE,12,34
home,0-50,TRUE,13,69
home,0-50,TRUE,14,57
home,0-50,TRUE,15,19
home,0-50,TRUE,16,18
home,0-50,TRUE,17,14
home,0-50,TRUE,18,8
home,0-50,TRUE,19,3
home,0-50,TRUE,20,13
home,0-50,TRUE,21,4
home,0-50,TRUE,22,3
home,0-50,TRUE,23,10
home,0-50,TRUE,24,1
home,0-50,TRUE,25,1
home,0-50,TRUE,26,2
home,51+,TRUE,1,4
home,51+,TRUE,2,4
home,51+,TRUE,3,10
home,51+,TRUE,4,8
home,51+,TRUE,5,10
home,51+,TRUE,6,30
home,51+,TRUE,7,21
home,51+,TRUE,8,12
home,51+,TRUE,9,22
home,51+,TRUE,10,20
home,51+,TRUE,11,12
home,51+,TRUE,12,10
home,51+,TRUE,13,29
home,51+,TRUE,14,28
home,51+,TRUE,15,14
home,51+,TRUE,16,9
home,51+,TRUE,17,10
home,51+,TRUE,18,6
home,51+,TRUE,19,3
home,51+,TRUE,20,3
home,51+,TRUE,21,5
home,51+,TRUE,22,1
home,51+,TRUE,23,4
home,51+,TRUE,24,1
home,51+,TRUE,26,2
inpatient_ward,0-50,FALSE,1,4
inpatient_ward,0-50,FALSE,2,1
inpatient_ward,0-50,FALSE,3,2
inpatient_ward,0-50,FALSE,4,2
inpatient_ward,0-50,FALSE,5,2
inpatient_ward,51+,FALSE,1,12
inpatient_ward,51+,FALSE,2,5
inpatient_ward,51+,FALSE,3,11
inpatient_ward,51+,FALSE,4,3
inpatient_ward,51+,FALSE,5,3
inpatient_ward,51+,FALSE,6,2
inpatient_ward,51+,FALSE,7,3
inpatient_ward,51+,FALSE,8,4
inpatient_ward,51+,FALSE,15,1
inpatient_ward,51+,TRUE,1,4
inpatient_ward,51+,TRUE,2,4
inpatient_ward,51+,TRUE,3,2
inpatient_ward,51+,TRUE,5,1
inpatient_ward,51+,TRUE,6,1
inpatient_ward,51+,TRUE,7,1
inpatient_ward,51+,TRUE,9,1
inpatient_ward,51+,TRUE,10,1
inpatient_ward,51+,TRUE,11,8
inpatient_ward,51+,TRUE,12,2
inpatient_ward,51+,TRUE,14,1
inpatient_ward,51+,TRUE,15,1
inpatient_ward,51+,TRUE,18,1
intensive_care_unit,0-50,FALSE,2,1
intensive_care_unit,51+,FALSE,1,4
intensive_care_unit,51+,FALSE,3,2
intensive_care_unit,51+,FALSE,4,1
intensive_care_unit,51+,FALSE,7,1
intensive_care_unit,51+,FALSE,11,1
intensive_care_unit,51+,FALSE,13,1
intensive_care_unit,0-50,TRUE,10,1
intensive_care_unit,51+,TRUE,1,1
intensive_care_unit,51+,TRUE,3,1
intensive_care_unit,51+,TRUE,4,1
intensive_care_unit,51+,TRUE,8,1
intensive_care_unit,51+,TRUE,10,1
intensive_care_unit,51+,TRUE,12,1
intensive_care_unit,51+,TRUE,14,1
intensive_care_unit,51+,TRUE,15,1
intensive_care_unit,51+,TRUE,16,1
