state,age_group_simple,censored,state_duration,count
home-green,0-50,FALSE,1,23
home-green,0-50,FALSE,2,36
home-green,0-50,FALSE,3,30
home-green,0-50,FALSE,4,41
home-green,0-50,FALSE,5,30
home-green,0-50,FALSE,6,28
home-green,0-50,FALSE,7,32
home-green,0-50,FALSE,8,55
home-green,0-50,FALSE,9,41
home-green,0-50,FALSE,10,37
home-green,0-50,FALSE,11,34
home-green,0-50,FALSE,12,34
home-green,0-50,FALSE,13,38
home-green,0-50,FALSE,14,259
home-green,0-50,FALSE,15,92
home-green,0-50,FALSE,16,45
home-green,0-50,FALSE,17,35
home-green,0-50,FALSE,18,19
home-green,0-50,FALSE,19,10
home-green,0-50,FALSE,20,9
home-green,0-50,FALSE,21,3
home-green,0-50,FALSE,22,8
home-green,0-50,FALSE,23,2
home-green,0-50,FALSE,24,1
home-green,0-50,FALSE,26,1
home-green,0-50,FALSE,27,1
home-green,0-50,FALSE,28,1
home-green,0-50,FALSE,30,1
home-green,51+,FALSE,1,18
home-green,51+,FALSE,2,26
home-green,51+,FALSE,3,23
home-green,51+,FALSE,4,22
home-green,51+,FALSE,5,24
home-green,51+,FALSE,6,20
home-green,51+,FALSE,7,25
home-green,51+,FALSE,8,22
home-green,51+,FALSE,9,15
home-green,51+,FALSE,10,20
home-green,51+,FALSE,11,21
home-green,51+,FALSE,12,14
home-green,51+,FALSE,13,15
home-green,51+,FALSE,14,72
home-green,51+,FALSE,15,28
home-green,51+,FALSE,16,18
home-green,51+,FALSE,17,18
home-green,51+,FALSE,18,5
home-green,51+,FALSE,19,8
home-green,51+,FALSE,20,6
home-green,51+,FALSE,21,2
home-green,51+,FALSE,22,1
home-green,51+,FALSE,23,2
home-green,51+,FALSE,24,1
home-green,51+,FALSE,31,1
home-green,0-50,TRUE,1,9
home-green,0-50,TRUE,2,7
home-green,0-50,TRUE,3,19
home-green,0-50,TRUE,4,21
home-green,0-50,TRUE,5,10
home-green,0-50,TRUE,6,30
home-green,0-50,TRUE,7,30
home-green,0-50,TRUE,8,28
home-green,0-50,TRUE,9,26
home-green,0-50,TRUE,10,12
home-green,0-50,TRUE,11,50
home-green,0-50,TRUE,12,46
home-green,0-50,TRUE,13,38
home-green,0-50,TRUE,14,52
home-green,0-50,TRUE,15,22
home-green,0-50,TRUE,16,14
home-green,0-50,TRUE,17,10
home-green,0-50,TRUE,18,13
home-green,0-50,TRUE,19,6
home-green,0-50,TRUE,20,4
home-green,0-50,TRUE,21,5
home-green,0-50,TRUE,22,4
home-green,0-50,TRUE,23,1
home-green,0-50,TRUE,24,1
home-green,0-50,TRUE,25,1
home-green,0-50,TRUE,26,2
home-green,0-50,TRUE,27,1
home-green,0-50,TRUE,28,1
home-green,0-50,TRUE,32,1
home-green,0-50,TRUE,33,1
home-green,51+,TRUE,1,9
home-green,51+,TRUE,2,4
home-green,51+,TRUE,3,5
home-green,51+,TRUE,4,7
home-green,51+,TRUE,5,11
home-green,51+,TRUE,6,14
home-green,51+,TRUE,7,14
home-green,51+,TRUE,8,13
home-green,51+,TRUE,9,7
home-green,51+,TRUE,10,3
home-green,51+,TRUE,11,22
home-green,51+,TRUE,12,16
home-green,51+,TRUE,13,14
home-green,51+,TRUE,14,17
home-green,51+,TRUE,15,10
home-green,51+,TRUE,16,6
home-green,51+,TRUE,17,4
home-green,51+,TRUE,18,6
home-green,51+,TRUE,19,4
home-green,51+,TRUE,20,1
home-green,51+,TRUE,23,2
home-green,51+,TRUE,24,1
home-green,51+,TRUE,25,1
home-green,51+,TRUE,27,2
home-red,0-50,FALSE,1,77
home-red,0-50,FALSE,2,66
home-red,0-50,FALSE,3,54
home-red,0-50,FALSE,4,54
home-red,0-50,FALSE,5,41
home-red,0-50,FALSE,6,27
home-red,0-50,FALSE,7,16
home-red,0-50,FALSE,8,10
home-red,0-50,FALSE,9,12
home-red,0-50,FALSE,10,8
home-red,0-50,FALSE,11,6
home-red,0-50,FALSE,13,3
home-red,0-50,FALSE,14,1
home-red,0-50,FALSE,15,1
home-red,0-50,FALSE,19,1
home-red,0-50,FALSE,20,1
home-red,51+,FALSE,1,43
home-red,51+,FALSE,2,50
home-red,51+,FALSE,3,54
home-red,51+,FALSE,4,34
home-red,51+,FALSE,5,24
home-red,51+,FALSE,6,15
home-red,51+,FALSE,7,10
home-red,51+,FALSE,8,17
home-red,51+,FALSE,9,8
home-red,51+,FALSE,10,6
home-red,51+,FALSE,11,6
home-red,51+,FALSE,12,3
home-red,51+,FALSE,13,2
home-red,51+,FALSE,14,1
home-red,51+,FALSE,15,1
home-red,51+,FALSE,16,2
home-red,51+,FALSE,17,2
home-red,51+,FALSE,18,1
home-red,0-50,TRUE,1,5
home-red,0-50,TRUE,2,3
home-red,0-50,TRUE,3,2
home-red,0-50,TRUE,4,1
home-red,0-50,TRUE,5,2
home-red,0-50,TRUE,6,3
