state,splitting_variable,censored,state_duration,count
home-green,age_0-50,FALSE,1,29
home-green,age_0-50,FALSE,2,40
home-green,age_0-50,FALSE,3,30
home-green,age_0-50,FALSE,4,43
home-green,age_0-50,FALSE,5,32
home-green,age_0-50,FALSE,6,34
home-green,age_0-50,FALSE,7,40
home-green,age_0-50,FALSE,8,66
home-green,age_0-50,FALSE,9,51
home-green,age_0-50,FALSE,10,48
home-green,age_0-50,FALSE,11,34
home-green,age_0-50,FALSE,12,42
home-green,age_0-50,FALSE,13,60
home-green,age_0-50,FALSE,14,371
home-green,age_0-50,FALSE,15,120
home-green,age_0-50,FALSE,16,60
home-green,age_0-50,FALSE,17,52
home-green,age_0-50,FALSE,18,27
home-green,age_0-50,FALSE,19,13
home-green,age_0-50,FALSE,20,14
home-green,age_0-50,FALSE,21,9
home-green,age_0-50,FALSE,22,14
home-green,age_0-50,FALSE,23,4
home-green,age_0-50,FALSE,24,3
home-green,age_0-50,FALSE,25,1
home-green,age_0-50,FALSE,26,1
home-green,age_0-50,FALSE,27,2
home-green,age_0-50,FALSE,28,2
home-green,age_0-50,FALSE,29,2
home-green,age_0-50,FALSE,30,1
home-green,age_0-50,FALSE,33,1
home-green,age_51+,FALSE,1,21
home-green,age_51+,FALSE,2,28
home-green,age_51+,FALSE,3,24
home-green,age_51+,FALSE,4,25
home-green,age_51+,FALSE,5,27
home-green,age_51+,FALSE,6,26
home-green,age_51+,FALSE,7,29
home-green,age_51+,FALSE,8,23
home-green,age_51+,FALSE,9,21
home-green,age_51+,FALSE,10,30
home-green,age_51+,FALSE,11,24
home-green,age_51+,FALSE,12,18
home-green,age_51+,FALSE,13,21
home-green,age_51+,FALSE,14,103
home-green,age_51+,FALSE,15,39
home-green,age_51+,FALSE,16,28
home-green,age_51+,FALSE,17,23
home-green,age_51+,FALSE,18,8
home-green,age_51+,FALSE,19,14
home-green,age_51+,FALSE,20,11
home-green,age_51+,FALSE,21,3
home-green,age_51+,FALSE,22,2
home-green,age_51+,FALSE,23,5
home-green,age_51+,FALSE,24,1
