0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325
2020-03-05,0.00375,0.017,0.041375,0.085,0.142875,0.22,0.30325,0.391625,0.480625,0.56075,0.634375,0.69775,0.75475,0.79925,0.837625,0.875375,0.90175,0.921,0.936375,0.95025,0.959375,0.96875,0.9755,0.981,0.984375,0.989125,0.990625,0.992625,0.993625,0.994875,0.996125,0.99675,0.9975,0.997875,0.998375,0.998625,0.999,0.999125,0.99925,0.9995,0.999625,0.99975,0,0.999875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0.00275,0.01375,0.031,0.063,0.1075,0.166625,0.23,0.3005,0.377125,0.4555,0.526125,0.5975,0.660375,0.712875,0.7605,0.80125,0.836625,0.865625,0.89,0.911375,0.930625,0.942875,0.956375,0.96425,0.970375,0.976,0.980375,0.983875,0.987875,0.989875,0.992375,0.994,0.995875,0.997125,0.99725,0.998,0.9985,0.998875,0.99925,0,0.9995,0,0.999625,0,0.999875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0.001,0.006,0.01875,0.038125,0.06625,0.105625,0.157125,0.216375,0.27675,0.34575,0.41425,0.482375,0.54625,0.604625,0.661125,0.709375,0.752,0.7905,0.824,0.85275,0.878875,0.90275,0.921375,0.933375,0.945,0.953875,0.961375,0.968,0.973125,0.978375,0.983625,0.987125,0.989625,0.991625,0.992375,0.993625,0.99475,0.995875,0.997,0.997375,0.997625,0.997875,0.998,0.99825,0.99875,0.998875,0,0.999125,0,0,0.99925,0.999375,0.9995,0,0,0.999625,0.99975,0.999875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0.0015,0.004625,0.011625,0.024625,0.04375,0.070125,0.1065,0.149875,0.196625,0.251,0.308625,0.36975,0.43325,0.494625,0.55625,0.609125,0.659375,0.70325,0.742125,0.778625,0.811875,0.84125,0.865,0.884375,0.901375,0.919,0.932,0.944,0.95325,0.9605,0.96575,0.971375,0.975375,0.97825,0.98125,0.98425,0.98725,0.98925,0.9915,0.992875,0.994625,0.9955,0.995625,0.996,0.996625,0.997125,0.99725,0.998125,0.99825,0.9985,0,0,0.998625,0.998875,0.999,0.999125,0,0,0.99925,0.9995,0,0,0,0.999625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0.00075,0.002375,0.00625,0.010625,0.02175,0.038625,0.06375,0.095125,0.132125,0.173125,0.2195,0.271375,0.323625,0.37875,0.4365,0.489,0.540375,0.59225,0.637125,0.67975,0.72075,0.757625,0.7905,0.82,0.842375,0.865625,0.886625,0.9035,0.916375,0.927,0.93825,0.946125,0.953,0.958625,0.96475,0.97075,0.9755,0.978375,0.98025,0.982375,0.985125,0.986625,0.989,0.99025,0.991125,0.9925,0.993625,0.99475,0.9955,0.99575,0.99625,0.997,0.997375,0.9975,0.99775,0.998375,0,0.99875,0.999,0,0.99925,0.999375,0.9995,0.999625,0,0.99975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0.00025,5e-04,0.003125,0.007,0.014625,0.026,0.03925,0.05875,0.08775,0.11575,0.15025,0.192625,0.236,0.2845,0.33525,0.383375,0.433375,0.481,0.52875,0.57275,0.612875,0.652625,0.688,0.723875,0.756,0.7885,0.814375,0.84,0.858375,0.876125,0.89275,0.906125,0.91875,0.929875,0.938125,0.946625,0.95225,0.957875,0.963875,0.969,0.97425,0.978875,0.98225,0.984875,0.98625,0.988,0.99025,0.99125,0.992375,0.993625,0.994,0.994625,0.995125,0.995875,0.99675,0.997125,0.9975,0,0.997875,0.998,0.998125,0,0.998375,0,0.9985,0.99875,0.998875,0.999,0,0,0,0.999125,0,0.99925,0,0,0,0,0.999375,0,0.9995,0.999625,0,0.99975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0.000125,0.001,0.0025,0.004375,0.007625,0.01425,0.024125,0.037375,0.05275,0.073625,0.09875,0.127875,0.16025,0.1965,0.23675,0.2745,0.316625,0.358125,0.40475,0.447375,0.492375,0.53525,0.578375,0.620125,0.655625,0.688,0.723125,0.7485,0.774625,0.799125,0.8205,0.84175,0.861625,0.876875,0.89225,0.9025,0.91425,0.9245,0.933875,0.940875,0.948,0.952875,0.95775,0.9625,0.966625,0.9715,0.974625,0.978125,0.98125,0.98425,0.986125,0.988125,0.989125,0.989875,0.991,0.992375,0.9935,0.994875,0.995625,0.996,0.99625,0.997,0.99725,0.997625,0.997875,0.998,0.99825,0.998375,0.9985,0.99875,0.999,0,0.999125,0,0.99925,0.9995,0,0,0.999625,0,0,0,0.99975,0,0.999875,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0.000125,0.000875,0.001625,0.003125,0.00625,0.012875,0.018125,0.026875,0.037375,0.050625,0.06725,0.088125,0.113625,0.1395,0.166125,0.199875,0.233,0.267625,0.302,0.342625,0.381125,0.42175,0.46625,0.504375,0.54125,0.57625,0.608125,0.642375,0.67525,0.70575,0.729125,0.755,0.777375,0.802625,0.822875,0.842375,0.8595,0.874625,0.89025,0.90325,0.912875,0.923125,0.931625,0.938875,0.9455,0.9525,0.9575,0.962375,0.96575,0.97,0.974,0.97725,0.979375,0.980875,0.98275,0.98525,0.987,0.988375,0.989625,0.990875,0.9915,0.992375,0.992875,0.994,0.994375,0.99475,0.99525,0.995375,0.996,0.996375,0.997125,0.99725,0,0.997625,0.997875,0,0,0.998125,0.9985,0.998625,0.99875,0.998875,0,0,0,0,0.999,0.999125,0.99925,0.999375,0.9995,0.999625,0,0,0.99975,0,0,0,0,0,0,0,0.999875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0.000125,0.001125,0.001875,0.003875,0.007,0.010125,0.0145,0.021625,0.03275,0.0415,0.0545,0.0705,0.09175,0.1155,0.142125,0.16625,0.19475,0.225375,0.2565,0.284875,0.31875,0.352,0.385625,0.4215,0.45825,0.49475,0.527125,0.559375,0.59,0.6185,0.64725,0.67175,0.69775,0.724125,0.74525,0.7685,0.789375,0.808375,0.824875,0.84225,0.853875,0.86775,0.879625,0.89,0.900875,0.911625,0.919875,0.92775,0.934625,0.941125,0.94675,0.952375,0.956875,0.96025,0.96375,0.9665,0.970625,0.973125,0.974875,0.977125,0.98025,0.9825,0.984125,0.985625,0.98725,0.988,0.989375,0.991,0.991875,0.9925,0.99325,0.9935,0.993875,0.994125,0.99425,0.994875,0.995625,0.996125,0.99675,0.996875,0.99725,0,0.997375,0.997625,0,0.99775,0.998,0.998125,0,0,0,0.998375,0,0.998625,0.99875,0.999,0,0.999125,0,0.99925,0,0.999375,0,0.9995,0.999625,0,0,0.99975,0,0,0.999875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0.000125,0.000625,0.00125,0.00225,0.0045,0.0075,0.012375,0.0195,0.02925,0.03825,0.04875,0.0625,0.077375,0.09475,0.11775,0.141,0.16425,0.19125,0.218125,0.24475,0.273375,0.304,0.3335,0.365625,0.396625,0.4285,0.459625,0.492125,0.52425,0.5545,0.583125,0.61325,0.638625,0.66325,0.686875,0.70975,0.729625,0.7505,0.771,0.787,0.805125,0.821,0.835625,0.849,0.862125,0.874125,0.885875,0.895625,0.904875,0.911125,0.91925,0.927,0.934,0.939875,0.94575,0.951375,0.95625,0.96075,0.964375,0.96725,0.97,0.97225,0.975,0.976,0.978,0.9805,0.9825,0.983625,0.98525,0.986375,0.9875,0.988625,0.989625,0.9905,0.99125,0.99175,0.993375,0.9935,0.994125,0.9945,0.99475,0.995875,0.996375,0.99675,0.99725,0.997625,0.997875,0.998125,0.998375,0,0.9985,0.998625,0.99875,0.998875,0,0.999,0.999125,0.999375,0,0.9995,0,0,0,0,0,0,0,0.999625,0.99975,0,0,0,0,0,0,0.999875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
