,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357
2020-03-05,0.003375,0.016,0.0365,0.073875,0.12275,0.190125,0.258,0.334375,0.411,0.486125,0.562875,0.634375,0.6905,0.738125,0.784375,0.824875,0.85775,0.884125,0.904375,0.921875,0.935375,0.94825,0.959375,0.96825,0.9735,0.978875,0.98275,0.9865,0.9885,0.99125,0.993125,0.99425,0.995,0.996,0.996875,0.9975,0.998,0.99825,0.998625,0.99875,0.999125,0.999375,0.999625,0,0.99975,0.999875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0.001875,0.00725,0.02025,0.042625,0.075625,0.119,0.174,0.23675,0.304875,0.37675,0.447875,0.51775,0.584875,0.64325,0.697875,0.7435,0.784125,0.815875,0.8475,0.873375,0.89575,0.914625,0.93,0.94375,0.953375,0.963125,0.969625,0.975125,0.97975,0.983,0.98575,0.988625,0.990125,0.9915,0.993,0.995,0.99625,0.996625,0,0.997625,0.99775,0.998125,0.998375,0.998625,0.99875,0.998875,0.999125,0.999375,0.9995,0.999625,0,0.99975,0,0,0,0,0,0,0,0.999875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0.000875,0.00525,0.0125,0.029625,0.05325,0.08425,0.125625,0.171875,0.230125,0.2855,0.344375,0.4135,0.482375,0.53525,0.59575,0.647875,0.69375,0.735875,0.776875,0.807875,0.836875,0.859375,0.880875,0.90175,0.916625,0.932625,0.942625,0.953375,0.95925,0.965875,0.971,0.975125,0.97925,0.982125,0.984875,0.987875,0.989875,0.99125,0.99225,0.993375,0.994125,0.995,0.995625,0.996375,0.997,0.997375,0.998,0.99825,0.998375,0.998625,0.99875,0.99925,0,0.999375,0,0.9995,0.99975,0,0.999875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0.000375,0.002375,0.008,0.016875,0.032375,0.05475,0.085125,0.122625,0.161875,0.20625,0.258875,0.315375,0.371625,0.427625,0.48425,0.533625,0.581875,0.626375,0.671875,0.714875,0.75325,0.788125,0.817125,0.846125,0.866625,0.887,0.901625,0.9165,0.930875,0.941125,0.95075,0.95825,0.964125,0.969125,0.97425,0.97925,0.981875,0.984625,0.986625,0.98875,0.99025,0.992125,0.994,0.995125,0.996125,0.99675,0.99725,0.9975,0.997875,0.998,0,0.99825,0.998625,0,0,0.998875,0.999125,0,0,0,0.9995,0,0.999625,0.99975,0.999875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0.000625,0.001375,0.005375,0.0125,0.02075,0.033125,0.05325,0.0765,0.103875,0.1415,0.18175,0.22675,0.27675,0.32325,0.37025,0.42325,0.4725,0.520625,0.569625,0.61425,0.656375,0.6985,0.733125,0.76325,0.7905,0.813375,0.836375,0.8575,0.8765,0.892875,0.90675,0.917625,0.928375,0.936625,0.947,0.95375,0.962,0.96725,0.97175,0.976375,0.97875,0.980875,0.98425,0.986125,0.98875,0.989875,0.990875,0.992125,0.992875,0.994125,0.9955,0.996,0.996875,0.997,0.9975,0.997625,0.99775,0.998,0.99825,0.998625,0.999,0.99925,0,0,0.999375,0,0,0.9995,0,0,0.999625,0.999875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0.00025,0.000625,0.002625,0.005125,0.010375,0.01825,0.031,0.048,0.06775,0.09025,0.118625,0.15025,0.18775,0.228625,0.272875,0.310625,0.352375,0.395125,0.4455,0.486375,0.53125,0.571875,0.610875,0.648625,0.682,0.71375,0.744375,0.771,0.796375,0.818125,0.836875,0.85375,0.870625,0.884,0.894875,0.907375,0.91975,0.929875,0.93825,0.9455,0.9515,0.958,0.9635,0.969,0.973375,0.97675,0.97975,0.982875,0.985,0.98675,0.98775,0.988625,0.989625,0.991875,0.992875,0.994,0.995,0.99575,0.996375,0.996625,0.997125,0.99725,0,0.99775,0,0,0.998375,0.998625,0.998875,0,0,0.999,0.99925,0,0.999375,0.99975,0.999875,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0.000125,5e-04,0.001375,0.003625,0.00625,0.01175,0.020125,0.029625,0.042125,0.059,0.08025,0.101875,0.127375,0.155625,0.186375,0.220375,0.26,0.296125,0.330125,0.370125,0.41125,0.44875,0.486125,0.52475,0.562375,0.597625,0.633375,0.662625,0.69425,0.721,0.7485,0.771875,0.795375,0.81475,0.833375,0.849375,0.86225,0.877625,0.889,0.8995,0.911,0.919625,0.931,0.939625,0.94625,0.951625,0.95775,0.962625,0.9675,0.97075,0.9735,0.97725,0.980125,0.982875,0.98575,0.9875,0.9895,0.991,0.991875,0.992,0.993125,0.993625,0.994125,0.99475,0.9955,0.996,0.9965,0.997125,0.997625,0,0.997875,0.998125,0,0.998375,0.998625,0.998875,0,0.999125,0.99925,0.999375,0.999625,0.99975,0,0,0,0,0,0,0,0,0,0.999875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0.00025,0.001125,0.002125,0.004625,0.008375,0.014,0.022125,0.0325,0.045375,0.058375,0.0745,0.09325,0.1155,0.13975,0.164125,0.193375,0.22175,0.25575,0.28725,0.323125,0.360625,0.397625,0.430125,0.46775,0.500375,0.534125,0.562375,0.59125,0.62525,0.656,0.6845,0.710625,0.734875,0.753875,0.778625,0.7995,0.818125,0.833375,0.85,0.86625,0.881,0.89175,0.902,0.912375,0.920875,0.92875,0.935,0.9415,0.94725,0.952875,0.956625,0.9615,0.96525,0.968375,0.97175,0.974875,0.97725,0.979375,0.9815,0.982375,0.984375,0.986125,0.987,0.9885,0.9895,0.990875,0.99125,0.99225,0.99325,0.994,0.994375,0.99525,0.995625,0.99625,0.996625,0.997,0.997125,0.997375,0,0.997625,0.997875,0,0.998,0,0.998125,0,0,0.9985,0.99875,0.998875,0,0.999,0,0.99925,0.9995,0.999625,0,0,0,0.99975,0,0,0,0,0,0,0.999875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0.000125,0,0.000875,0.002375,0.00325,0.00625,0.010375,0.015,0.0225,0.031,0.039625,0.05075,0.06225,0.077875,0.093,0.1145,0.139,0.163,0.188,0.214375,0.24075,0.270125,0.302,0.33225,0.363,0.39275,0.42825,0.4605,0.49175,0.524875,0.554,0.581625,0.608,0.636875,0.661875,0.68825,0.712125,0.730875,0.749,0.7695,0.787625,0.802,0.818125,0.832875,0.846375,0.860125,0.871125,0.88375,0.89525,0.903125,0.911875,0.919625,0.927125,0.9335,0.941,0.947875,0.95225,0.95825,0.96225,0.96625,0.969875,0.973125,0.976375,0.978125,0.979375,0.98125,0.983125,0.984875,0.98575,0.986625,0.987375,0.989125,0.98975,0.9905,0.992125,0.992625,0.9935,0.99375,0.994125,0.994375,0.9955,0.996,0.996125,0.9965,0.99675,0,0.996875,0.997,0.997125,0.997375,0.9975,0.997875,0.998,0.998375,0,0.9985,0,0,0.998625,0,0.998875,0.999,0.999125,0,0.99925,0.999375,0,0,0,0.9995,0.999625,0.99975,0.999875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,0.000125,0.000625,0.001,0.00275,0.003625,0.00575,0.00925,0.01275,0.016875,0.02325,0.030375,0.0385,0.048,0.06025,0.07225,0.089125,0.107125,0.12625,0.1465,0.16875,0.1925,0.217875,0.239375,0.267125,0.29175,0.320125,0.35075,0.378125,0.405,0.433125,0.46275,0.490125,0.51925,0.547875,0.57525,0.599375,0.6275,0.65075,0.677,0.697875,0.7185,0.7355,0.753125,0.771875,0.790625,0.807125,0.818875,0.834125,0.84875,0.86075,0.87025,0.8825,0.891375,0.9015,0.90825,0.917625,0.922625,0.929875,0.93625,0.940875,0.945625,0.9515,0.9555,0.9595,0.962875,0.9665,0.969875,0.972125,0.974125,0.975875,0.9785,0.980375,0.98225,0.983,0.9845,0.9855,0.9865,0.987375,0.988625,0.989875,0.99125,0.992125,0.993375,0.993875,0.994,0.994125,0.994375,0.995125,0.9955,0.996,0.9965,0.996875,0.99725,0.9975,0,0.99775,0.998,0.998125,0.998625,0.99875,0.998875,0,0,0.999,0.999125,0.999375,0,0.9995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999625,0.99975,0,0.999875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
