,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355
2020-03-05,0.00275,0.012875,0.032125,0.067375,0.11525,0.17525,0.24475,0.32425,0.4105,0.48675,0.555375,0.6205,0.6795,0.736,0.78825,0.8265,0.860875,0.8865,0.90675,0.925,0.93875,0.95125,0.96175,0.969875,0.975875,0.98,0.984375,0.988125,0.99,0.99225,0.993125,0.99525,0.9965,0.99725,0,0.99775,0.998375,0.99875,0.999125,0,0,0.99925,0.9995,0,0.999625,0,0.99975,0,0.999875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0.0015,0.00725,0.018875,0.04,0.076125,0.123625,0.1815,0.247625,0.315,0.384875,0.455,0.526375,0.588,0.645125,0.697375,0.747,0.787875,0.822,0.85225,0.878875,0.901875,0.91975,0.934,0.946,0.955125,0.96275,0.97,0.97525,0.980375,0.983,0.986375,0.988875,0.9915,0.9925,0.994,0.995125,0.996625,0.996875,0.997875,0.99825,0.9985,0.99875,0.999,0.99925,0.9995,0,0,0.999625,0.99975,0,0,0.999875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0.00025,0.004,0.011,0.027,0.049375,0.081375,0.12275,0.16975,0.227875,0.28925,0.351125,0.413625,0.47275,0.53225,0.58725,0.639875,0.692125,0.73775,0.777125,0.810125,0.8385,0.8645,0.886,0.906375,0.924125,0.939,0.9495,0.956375,0.963,0.969,0.97375,0.97875,0.9815,0.984625,0.987875,0.989375,0.991125,0.9925,0.994375,0.995,0.995875,0.99675,0.9975,0.99775,0.997875,0.998125,0.998375,0.998625,0.99875,0.998875,0.99925,0,0.999625,0,0,0.99975,0.999875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0.000875,0.004,0.009375,0.019,0.03075,0.051375,0.075875,0.105125,0.14825,0.197,0.248375,0.304875,0.3585,0.413125,0.465375,0.519125,0.577875,0.625625,0.669125,0.7135,0.75025,0.783,0.811375,0.837875,0.860875,0.87925,0.899625,0.91475,0.925875,0.9385,0.94925,0.957625,0.964125,0.97,0.975,0.978375,0.982,0.9855,0.98775,0.989875,0.99175,0.99275,0.994,0.99525,0.99575,0.996375,0.996625,0.99725,0.9975,0.997625,0.998125,0.9985,0.998875,0.999,0,0.999125,0,0.99925,0.9995,0.999625,0.99975,0,0.999875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0.000625,0.001125,0.003875,0.008875,0.01825,0.031375,0.04975,0.074375,0.10125,0.1375,0.177375,0.22275,0.2715,0.323,0.37475,0.424375,0.469625,0.518875,0.56725,0.610125,0.653125,0.6925,0.727125,0.7565,0.785625,0.81375,0.838125,0.85725,0.876625,0.891875,0.907,0.91975,0.929875,0.9395,0.949,0.957375,0.96325,0.967375,0.971125,0.97475,0.978125,0.981625,0.983375,0.985125,0.987875,0.99,0.992,0.9935,0.994375,0.995125,0.995625,0.996125,0.996375,0.9965,0.997125,0.998125,0.99825,0.99875,0,0.998875,0,0.999125,0.999375,0,0,0.9995,0,0,0,0.999625,0.99975,0,0,0,0,0,0,0,0,0.999875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0.00025,0.0015,0.0035,0.008625,0.016,0.0275,0.043125,0.063125,0.085375,0.1105,0.14225,0.17825,0.218,0.26275,0.306875,0.3545,0.398375,0.4455,0.492625,0.535,0.576875,0.6205,0.656125,0.691375,0.722125,0.752,0.782375,0.808875,0.8295,0.85075,0.86725,0.883375,0.896875,0.908875,0.920875,0.930125,0.93775,0.9465,0.951875,0.959125,0.964125,0.97,0.97375,0.9775,0.98025,0.98225,0.98525,0.98725,0.988625,0.990125,0.991,0.992125,0.992625,0.993625,0.994,0.99475,0.995375,0.99575,0.996375,0.996875,0.997375,0.997625,0,0.998,0.998625,0.99875,0.998875,0.999125,0.99925,0.999375,0,0,0,0.9995,0.99975,0,0,0,0,0,0.999875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0.000375,0.001625,0.00325,0.006375,0.0125,0.020125,0.031625,0.045,0.060625,0.082875,0.10425,0.1325,0.164375,0.195625,0.229625,0.263375,0.301375,0.342125,0.382125,0.422875,0.462125,0.499875,0.541375,0.57725,0.61525,0.649625,0.68375,0.7135,0.741,0.76525,0.793125,0.813125,0.830625,0.847375,0.864625,0.877625,0.892625,0.90425,0.913,0.923,0.932125,0.937875,0.944625,0.950125,0.955875,0.960625,0.965625,0.96875,0.9715,0.975,0.97725,0.979875,0.9825,0.985,0.986875,0.989375,0.991125,0.991875,0.99275,0.99375,0.99425,0.994875,0.995125,0.995625,0.996125,0.996875,0.99725,0.99775,0.998125,0.99825,0.998625,0.99875,0.999,0.99925,0.999375,0,0.9995,0,0,0,0.999625,0,0,0,0,0,0,0,0,0,0,0,0,0.99975,0.999875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,5e-04,0.002125,0.004,0.008,0.012,0.019,0.027,0.039375,0.054875,0.07125,0.0895,0.110125,0.133875,0.16325,0.193,0.225,0.25525,0.287375,0.3225,0.35575,0.391875,0.424125,0.4635,0.4995,0.534375,0.569875,0.599,0.632375,0.66325,0.689875,0.715,0.73725,0.760875,0.783,0.8025,0.822,0.840125,0.8565,0.871625,0.883625,0.895125,0.906125,0.914875,0.922375,0.930625,0.93875,0.947125,0.952125,0.957875,0.96175,0.965125,0.968375,0.97175,0.975,0.97775,0.98025,0.982625,0.984625,0.98675,0.988,0.989375,0.990125,0.99125,0.9925,0.993625,0.9945,0.995,0.996,0.996375,0.99675,0.997375,0.9975,0.997625,0.998375,0,0.99875,0.998875,0.99925,0.999375,0.9995,0.99975,0.999875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0.000125,0,0.000625,0.001375,0.0025,0.004125,0.005875,0.009625,0.0155,0.022125,0.03175,0.042125,0.05475,0.0665,0.08375,0.10325,0.1225,0.14525,0.17025,0.197125,0.22875,0.257875,0.29275,0.327,0.36075,0.395625,0.428875,0.457375,0.492375,0.5235,0.555,0.585875,0.61225,0.6415,0.6685,0.6945,0.717125,0.741,0.7615,0.7785,0.794875,0.81225,0.82725,0.842,0.8555,0.86725,0.87875,0.8915,0.902125,0.9105,0.9205,0.927375,0.932625,0.939,0.94425,0.949125,0.954125,0.958875,0.962625,0.966125,0.96975,0.973,0.974625,0.977625,0.97975,0.9815,0.983375,0.985,0.98675,0.988,0.989,0.990125,0.990625,0.9915,0.992125,0.99275,0.99325,0.993875,0.99425,0.995125,0.99525,0.99575,0.99625,0.9965,0.996875,0.997375,0.9975,0.997875,0.998,0,0.998125,0.99825,0.9985,0,0.998625,0.99875,0.999,0,0,0,0.999125,0.99925,0,0,0,0,0.9995,0.999625,0,0,0.99975,0.999875,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,0.000375,0.00075,0.00125,0.002625,0.003875,0.005875,0.00825,0.0125,0.016875,0.021375,0.02775,0.037,0.047875,0.05925,0.071125,0.083875,0.1005,0.1215,0.1385,0.16275,0.18775,0.211125,0.240375,0.266375,0.2935,0.32275,0.35,0.38025,0.410875,0.4385,0.470125,0.49775,0.526375,0.553125,0.580625,0.60475,0.632,0.65575,0.6795,0.699375,0.720375,0.7395,0.757625,0.774875,0.789375,0.8055,0.819625,0.833125,0.847375,0.86025,0.870375,0.879875,0.889,0.89925,0.907125,0.915375,0.923375,0.93,0.93575,0.940625,0.94425,0.95025,0.955375,0.958625,0.96125,0.964625,0.968375,0.97075,0.973,0.97475,0.978125,0.980375,0.982625,0.984125,0.98575,0.987125,0.988125,0.98975,0.991125,0.99175,0.99225,0.993125,0.99375,0.994125,0.994875,0.995125,0.995875,0.996125,0.9965,0,0.99675,0.99725,0.9975,0.99775,0,0.998,0.99825,0,0.998375,0.9985,0.998625,0,0,0.99875,0,0.998875,0.999,0.999125,0,0.999375,0,0,0.9995,0,0.999625,0,0,0,0,0,0,0,0,0.99975,0.999875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
