day,home,inpatient_ward,intensive_care_unit,death,recovered
0,948,31,6,1,9
1,914,30,7,0,45
2,943,32,6,1,24
3,926,38,6,0,51
4,895,29,13,1,42
5,835,29,18,0,61
6,790,27,20,1,62
7,750,24,24,1,73
8,702,31,24,0,66
9,660,36,22,1,55
10,622,39,20,0,56
11,590,41,20,0,40
12,532,43,22,0,56
13,492,43,23,1,49
14,450,42,23,1,59
15,402,45,18,3,53
16,366,47,16,0,40
17,333,43,20,0,38
18,296,48,18,1,33
19,273,51,18,0,23
20,261,46,22,1,19
21,255,43,22,0,17
22,230,46,18,0,31
23,201,53,16,1,27
24,176,55,15,0,25
25,168,45,21,0,13
26,159,47,17,1,10
27,150,46,16,1,10
0,977,31,13,0,5
1,1052,28,15,2,37
2,1066,33,11,0,36
3,1148,35,10,1,40
4,1121,30,13,0,41
5,1075,35,11,0,60
6,1052,30,14,1,49
7,985,34,12,1,80
8,910,39,13,1,69
9,852,38,14,1,68
10,795,41,12,0,66
11,753,40,16,0,55
12,757,36,19,0,38
13,695,41,18,0,62
14,647,47,15,1,66
15,574,52,13,1,71
16,507,55,19,1,69
17,456,57,25,1,49
18,408,67,23,2,60
19,355,75,23,0,52
20,337,75,23,1,21
21,290,72,25,1,47
22,276,64,30,1,19
23,265,61,29,1,19
24,256,61,25,1,13
25,244,53,27,1,17
26,240,44,26,0,18
27,218,44,25,0,23
0,917,29,11,0,16
1,915,28,10,0,34
2,922,31,11,1,33
3,910,39,11,0,45
4,905,36,13,2,38
5,899,40,12,0,50
6,849,49,12,0,57
7,802,58,13,1,72
8,743,54,14,0,66
9,697,52,17,1,64
10,647,52,18,0,57
11,583,57,19,1,63
12,580,54,21,0,32
13,541,51,23,2,44
14,483,46,25,2,76
15,453,39,28,0,48
16,417,35,28,1,47
17,391,38,26,0,32
18,364,39,23,0,30
19,333,35,25,1,38
20,293,37,26,1,39
21,265,41,28,0,24
22,247,40,28,0,23
23,240,41,26,1,9
24,225,44,24,0,20
25,205,50,23,0,15
26,194,44,24,0,17
27,194,43,21,1,14
0,950,30,11,0,14
1,998,30,11,3,38
2,1012,31,14,0,30
3,1007,33,12,2,47
4,968,37,10,2,57
5,931,40,11,1,58
6,905,37,16,1,66
7,892,40,14,0,52
8,839,44,14,2,67
9,792,46,14,0,52
10,742,52,13,1,58
11,762,53,11,0,53
12,709,52,13,0,54
13,647,51,16,1,64
14,582,54,20,0,63
15,540,57,16,0,48
16,489,52,20,0,62
17,442,56,23,0,43
18,410,62,24,1,29
19,386,58,24,0,34
20,351,54,30,1,33
21,316,50,29,1,41
22,291,49,30,1,27
23,268,48,30,1,23
24,252,43,32,1,19
25,234,51,25,1,19
26,208,47,27,0,32
27,195,43,31,0,20
0,1019,30,13,0,16
1,1020,30,12,0,43
2,1002,29,11,0,34
3,1013,26,13,0,34
4,1014,27,17,0,41
5,974,29,15,0,60
6,931,33,15,1,52
7,874,41,15,0,70
8,810,47,14,0,71
9,763,43,17,1,53
10,736,44,20,1,65
11,701,44,20,0,44
