"date","agegroup","variable","value"
"1",2020-03-03,"80+","fj_innlagna_a_spitala",1
"2",2020-03-05,"60-69","fj_innlagna_a_spitala",1
"3",2020-03-10,"60-69","fj_utskrifta_af_spitala",1
"4",2020-03-10,"80+","fj_innlagna_a_spitala",1
"5",2020-03-11,"60-69","fj_innlagna_a_spitala",1
"6",2020-03-12,"60-69","fj_innlagna_a_spitala",1
"7",2020-03-13,"60-69","fj_utskrifta_af_spitala",1
"8",2020-03-13,"60-69","fj_innlagna_a_spitala",1
"9",2020-03-14,"50-59","fj_innlagna_a_spitala",1
"10",2020-03-14,"60-69","fj_innlagna_a_icu",1
"11",2020-03-15,"50-59","fj_innlagna_a_icu",1
"12",2020-03-16,"70-79","fj_innlagna_a_spitala",1
"13",2020-03-17,"60-69","fj_innlagna_a_spitala",1
"14",2020-03-18,"50-59","fj_utskrifta_af_icu",1
"15",2020-03-18,"60-69","fj_utskrifta_af_icu",1
"16",2020-03-18,"60-69","fj_innlagna_a_spitala",1
"17",2020-03-19,"20-29","fj_batnad",1
"18",2020-03-19,"50-59","fj_batnad",2
"19",2020-03-19,"60-69","fj_batnad",1
"20",2020-03-19,"60-69","fj_utskrifta_af_spitala",1
"21",2020-03-19,"70-79","fj_innlagna_a_icu",1
"22",2020-03-19,"70-79","fj_innlagna_a_spitala",1
"23",2020-03-19,"80+","fj_utskrifta_af_spitala",1
"24",2020-03-20,"20-29","fj_batnad",2
"25",2020-03-20,"30-39","fj_batnad",2
"26",2020-03-20,"40-49","fj_innlagna_a_spitala",1
"27",2020-03-20,"40-49","fj_batnad",1
"28",2020-03-20,"50-59","fj_innlagna_a_spitala",1
"29",2020-03-20,"50-59","fj_batnad",6
"30",2020-03-20,"60-69","fj_innlagna_a_spitala",1
"31",2020-03-20,"60-69","fj_batnad",1
"32",2020-03-20,"70-79","fj_utskrifta_af_icu",1
"33",2020-03-20,"70-79","fj_innlagna_a_spitala",1
"34",2020-03-21,"20-29","fj_innlagna_a_spitala",1
"35",2020-03-21,"50-59","fj_batnad",1
"36",2020-03-21,"70-79","fj_innlagna_a_spitala",1
"37",2020-03-22,"20-29","fj_batnad",1
"38",2020-03-22,"30-39","fj_batnad",1
"39",2020-03-22,"40-49","fj_batnad",2
"40",2020-03-22,"40-49","fj_utskrifta_af_icu",1
"41",2020-03-22,"50-59","fj_innlagna_a_spitala",1
"42",2020-03-22,"50-59","fj_batnad",2
"43",2020-03-22,"60-69","fj_utskrifta_af_spitala",2
"44",2020-03-22,"80+","fj_innlagna_a_spitala",1
"45",2020-03-23,"10-19","fj_batnad",1
"46",2020-03-23,"20-29","fj_batnad",1
"47",2020-03-23,"30-39","fj_batnad",2
"48",2020-03-23,"40-49","fj_innlagna_a_spitala",1
"49",2020-03-23,"40-49","fj_batnad",5
"50",2020-03-23,"50-59","fj_innlagna_a_spitala",1
"51",2020-03-23,"50-59","fj_innlagna_a_spitala",1
"52",2020-03-23,"50-59","fj_batnad",2
"53",2020-03-23,"50-59","fj_utskrifta_af_spitala",1
"54",2020-03-23,"60-69","fj_batnad",4
"55",2020-03-23,"60-69","fj_utskrifta_af_spitala",1
"56",2020-03-23,"60-69","fj_innlagna_a_spitala",1
"57",2020-03-23,"70-79","fj_batnad",1
"58",2020-03-23,"70-79","fj_andlata",1
"59",2020-03-23,"70-79","fj_utskrifta_af_spitala",1
"60",2020-03-23,"80+","fj_utskrifta_af_spitala",1
"61",2020-03-24,"10-19","fj_batnad",1
"62",2020-03-24,"20-29","fj_batnad",1
"63",2020-03-24,"40-49","fj_batnad",5
"64",2020-03-24,"50-59","fj_batnad",1
"65",2020-03-24,"50-59","fj_utskrifta_af_spitala",1
"66",2020-03-24,"50-59","fj_utskrifta_af_icu",1
"67",2020-03-24,"60-69","fj_batnad",2
"68",2020-03-24,"60-69","fj_innlagna_a_spitala",1
"69",2020-03-24,"70-79","fj_innlagna_a_spitala",1
"70",2020-03-24,"70-79","fj_innlagna_a_spitala",2
"71",2020-03-25,"10-19","fj_batnad",1
"72",2020-03-25,"20-29","fj_batnad",3
"73",2020-03-25,"20-29","fj_utskrifta_af_spitala",1
"74",2020-03-25,"30-39","fj_batnad",2
"75",2020-03-25,"40-49","fj_batnad",5
"76",2020-03-25,"40-49","fj_utskrifta_af_spitala",1
"77",2020-03-25,"50-59","fj_batnad",1
"78",2020-03-25,"50-59","fj_utskrifta_af_spitala",1
"79",2020-03-25,"60-69","fj_innlagna_a_spitala",2
"80",2020-03-25,"60-69","fj_batnad",3
