date,state,median,quantile25,quantile75,quanitle975
2020-04-14,Legudeild,25,23,26,29
2020-04-14,Gjörgæsla,7,6,8,10
2020-04-15,Legudeild,24,22,26,30
2020-04-15,Gjörgæsla,7,6,8,11
2020-04-16,Legudeild,24,22,26,30
2020-04-16,Gjörgæsla,7,6,9,11
2020-04-17,Legudeild,24,21,26,32
2020-04-17,Gjörgæsla,7,6,9,12
2020-04-18,Legudeild,25,22,27,33
2020-04-18,Gjörgæsla,7,6,9,12
2020-04-19,Legudeild,24,21,27,32
2020-04-19,Gjörgæsla,7,6,9,12
2020-04-20,Legudeild,24,21,26,32
2020-04-20,Gjörgæsla,7,5,9,12
2020-04-21,Legudeild,23,20,26,32
2020-04-21,Gjörgæsla,7,5,8,12
2020-04-22,Legudeild,22,20,25,31
2020-04-22,Gjörgæsla,7,5,8,12
2020-04-23,Legudeild,22,19,25,31
2020-04-23,Gjörgæsla,6,5,8,11
2020-04-24,Legudeild,21,18,24,30
2020-04-24,Gjörgæsla,6,5,8,11
2020-04-25,Legudeild,20,17,22,28
2020-04-25,Gjörgæsla,6,5,8,11
2020-04-26,Legudeild,18,16,21,27
2020-04-26,Gjörgæsla,6,4,8,11
2020-04-27,Legudeild,17,15,20,26
2020-04-27,Gjörgæsla,6,4,7,11
2020-04-28,Legudeild,16,14,19,24
2020-04-28,Gjörgæsla,6,4,7,11
2020-04-29,Legudeild,15,13,18,23
2020-04-29,Gjörgæsla,5,4,7,10
2020-04-30,Legudeild,15,13,17,22
2020-04-30,Gjörgæsla,5,4,7,10
2020-05-01,Legudeild,14,12,16,22
2020-05-01,Gjörgæsla,5,3,6,10
2020-05-02,Legudeild,13,11,16,21
2020-05-02,Gjörgæsla,5,3,6,9
2020-05-03,Legudeild,13,10,15,21
2020-05-03,Gjörgæsla,5,3,6,9
2020-05-04,Legudeild,12,10,15,20
2020-05-04,Gjörgæsla,4,3,6,9
2020-05-05,Legudeild,12,9,14,19
2020-05-05,Gjörgæsla,4,3,5,9
2020-05-06,Legudeild,11,9,13,17
2020-05-06,Gjörgæsla,4,3,5,8
2020-05-07,Legudeild,10,8,12,16
2020-05-07,Gjörgæsla,4,3,5,8
2020-05-08,Legudeild,10,8,12,16
2020-05-08,Gjörgæsla,4,2,5,8
2020-05-09,Legudeild,9,7,12,16
2020-05-09,Gjörgæsla,3,2,5,8
2020-05-10,Legudeild,9,7,11,15
2020-05-10,Gjörgæsla,3,2,4,7
2020-05-11,Legudeild,9,6,10,15
2020-05-11,Gjörgæsla,3,2,4,7
2020-05-12,Legudeild,8,6,10,14
2020-05-12,Gjörgæsla,3,2,4,7
