date,state,median,lower,upper
2020-10-05,Legudeild,20,12,30
2020-10-05,Gjörgæsla,4,0,8
2020-10-06,Legudeild,20,12,31
2020-10-06,Gjörgæsla,4,1,8
2020-10-07,Legudeild,20,12,32
2020-10-07,Gjörgæsla,4,1,9
2020-10-08,Legudeild,21,12,32
2020-10-08,Gjörgæsla,4,1,9
2020-10-09,Legudeild,20,12,31
2020-10-09,Gjörgæsla,4,1,9
2020-10-10,Legudeild,20,12,31
2020-10-10,Gjörgæsla,4,1,8
2020-10-11,Legudeild,20,11,31
2020-10-11,Gjörgæsla,4,0,8
2020-10-12,Legudeild,19,10,30
2020-10-12,Gjörgæsla,4,0,8
2020-10-13,Legudeild,18,10,29
2020-10-13,Gjörgæsla,3,0,8
2020-10-14,Legudeild,18,9,27
2020-10-14,Gjörgæsla,3,0,8
2020-10-15,Legudeild,17,9,27
2020-10-15,Gjörgæsla,3,0,8
2020-10-16,Legudeild,16,8,26
2020-10-16,Gjörgæsla,3,0,7
2020-10-17,Legudeild,16,8,26
2020-10-17,Gjörgæsla,3,0,7
2020-10-18,Legudeild,15,8,26
2020-10-18,Gjörgæsla,3,0,7
2020-10-19,Legudeild,15,7,25
2020-10-19,Gjörgæsla,3,0,7
2020-10-20,Legudeild,14,7,25
2020-10-20,Gjörgæsla,3,0,6
2020-10-21,Legudeild,13,6,24
2020-10-21,Gjörgæsla,2,0,6
2020-10-22,Legudeild,13,6,25
2020-10-22,Gjörgæsla,2,0,6
