experiment_id,date,median,lower,upper,historical_value,historical_quantile,experiment_name,state
4,2020-11-10,53,53,54,NA,NA,Bætt líkan,Legudeild
4,2020-11-10,2,2,2,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-11,50,45,54,NA,NA,Bætt líkan,Legudeild
4,2020-11-11,2,1,4,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-12,47,41,54,NA,NA,Bætt líkan,Legudeild
4,2020-11-12,3,1,5,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-13,45,37,51,NA,NA,Bætt líkan,Legudeild
4,2020-11-13,3,1,6,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-14,42,34,49,NA,NA,Bætt líkan,Legudeild
4,2020-11-14,3,1,6,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-15,40,32,48,NA,NA,Bætt líkan,Legudeild
4,2020-11-15,3,1,7,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-16,38,31,46,NA,NA,Bætt líkan,Legudeild
4,2020-11-16,3,1,7,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-17,36,28,44,NA,NA,Bætt líkan,Legudeild
4,2020-11-17,3,0,7,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-18,34,26,42,NA,NA,Bætt líkan,Legudeild
4,2020-11-18,3,0,7,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-19,32,24,41,NA,NA,Bætt líkan,Legudeild
4,2020-11-19,3,1,7,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-20,30,22,39,NA,NA,Bætt líkan,Legudeild
4,2020-11-20,3,1,7,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-21,29,21,38,NA,NA,Bætt líkan,Legudeild
4,2020-11-21,3,1,7,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-22,27,19,36,NA,NA,Bætt líkan,Legudeild
4,2020-11-22,3,0,7,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-23,26,19,34,NA,NA,Bætt líkan,Legudeild
4,2020-11-23,3,0,7,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-24,25,17,34,NA,NA,Bætt líkan,Legudeild
4,2020-11-24,3,0,6,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-25,24,16,33,NA,NA,Bætt líkan,Legudeild
4,2020-11-25,3,0,6,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-26,23,15,31,NA,NA,Bætt líkan,Legudeild
4,2020-11-26,2,0,6,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-27,21,14,30,NA,NA,Bætt líkan,Legudeild
4,2020-11-27,2,0,6,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-28,20,13,29,NA,NA,Bætt líkan,Legudeild
4,2020-11-28,2,0,6,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-29,19,12,28,NA,NA,Bætt líkan,Legudeild
4,2020-11-29,2,0,6,NA,NA,Bætt líkan,Gjörgæsla
4,2020-11-30,18,11,26,NA,NA,Bætt líkan,Legudeild
4,2020-11-30,2,0,5,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-01,17,11,25,NA,NA,Bætt líkan,Legudeild
4,2020-12-01,2,0,6,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-02,16,10,25,NA,NA,Bætt líkan,Legudeild
4,2020-12-02,2,0,5,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-03,16,9,23,NA,NA,Bætt líkan,Legudeild
4,2020-12-03,2,0,5,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-04,15,9,23,NA,NA,Bætt líkan,Legudeild
4,2020-12-04,2,0,5,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-05,14,8,22,NA,NA,Bætt líkan,Legudeild
4,2020-12-05,2,0,5,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-06,13,7,21,NA,NA,Bætt líkan,Legudeild
4,2020-12-06,2,0,5,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-07,12,6,19,NA,NA,Bætt líkan,Legudeild
4,2020-12-07,2,0,5,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-08,12,6,18,NA,NA,Bætt líkan,Legudeild
4,2020-12-08,2,0,5,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-09,11,5,18,NA,NA,Bætt líkan,Legudeild
4,2020-12-09,1,0,4,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-10,10,5,17,NA,NA,Bætt líkan,Legudeild
4,2020-12-10,1,0,4,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-11,10,5,17,NA,NA,Bætt líkan,Legudeild
4,2020-12-11,1,0,4,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-12,9,4,15,NA,NA,Bætt líkan,Legudeild
4,2020-12-12,1,0,4,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-13,9,4,14,NA,NA,Bætt líkan,Legudeild
4,2020-12-13,1,0,4,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-14,8,4,14,NA,NA,Bætt líkan,Legudeild
4,2020-12-14,1,0,4,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-15,7,3,13,NA,NA,Bætt líkan,Legudeild
4,2020-12-15,1,0,4,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-16,7,3,12,NA,NA,Bætt líkan,Legudeild
4,2020-12-16,1,0,4,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-17,6,2,11,NA,NA,Bætt líkan,Legudeild
4,2020-12-17,1,0,4,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-18,6,2,11,NA,NA,Bætt líkan,Legudeild
4,2020-12-18,1,0,4,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-19,5,2,10,NA,NA,Bætt líkan,Legudeild
4,2020-12-19,1,0,4,NA,NA,Bætt líkan,Gjörgæsla
4,2020-12-20,5,1,10,NA,NA,Bætt líkan,Legudeild
4,2020-12-20,1,0,4,NA,NA,Bætt líkan,Gjörgæsla
