age_group_simple,state,type,state_duration,count
0-50,home,censored,2,43
0-50,home,censored,3,45
0-50,home,censored,4,50
0-50,home,censored,5,36
0-50,home,censored,6,72
0-50,home,censored,7,66
0-50,home,censored,8,41
0-50,home,censored,9,50
0-50,home,censored,10,50
0-50,home,censored,11,31
0-50,home,censored,12,9
0-50,home,censored,13,29
0-50,home,censored,14,19
0-50,home,censored,15,11
0-50,home,censored,16,15
0-50,home,censored,17,3
0-50,home,censored,18,2
0-50,home,censored,19,3
0-50,home,censored,21,1
0-50,home,censored,22,1
0-50,home,censored,23,1
0-50,home,imputed,1,1
0-50,home,imputed,2,1
0-50,home,imputed,3,3
0-50,home,imputed,4,9
0-50,home,imputed,5,7
0-50,home,imputed,6,11
0-50,home,imputed,7,14
0-50,home,imputed,8,22
0-50,home,imputed,9,10
0-50,home,imputed,10,48
0-50,home,imputed,11,60
0-50,home,imputed,12,83
0-50,home,imputed,13,67
0-50,home,imputed,14,264
0-50,home,imputed,15,93
0-50,home,imputed,16,61
0-50,home,imputed,17,42
0-50,home,imputed,18,19
0-50,home,imputed,19,22
0-50,home,imputed,20,36
0-50,home,imputed,21,3
0-50,home,imputed,22,16
0-50,home,imputed,23,7
0-50,home,imputed,24,5
0-50,home,imputed,26,4
0-50,home,uncensored,1,1
0-50,home,uncensored,2,1
0-50,home,uncensored,3,3
0-50,home,uncensored,4,7
0-50,home,uncensored,5,5
0-50,home,uncensored,6,6
0-50,home,uncensored,7,5
0-50,home,uncensored,8,11
0-50,home,uncensored,9,4
0-50,home,uncensored,10,22
0-50,home,uncensored,11,25
0-50,home,uncensored,12,38
0-50,home,uncensored,13,27
0-50,home,uncensored,14,95
0-50,home,uncensored,15,33
0-50,home,uncensored,16,14
0-50,home,uncensored,17,12
0-50,home,uncensored,18,5
0-50,home,uncensored,19,3
0-50,home,uncensored,20,5
0-50,home,uncensored,21,1
0-50,home,uncensored,22,4
0-50,home,uncensored,23,2
0-50,home,uncensored,26,1
0-50,inpatient_ward,censored,3,1
0-50,inpatient_ward,imputed,1,3
0-50,inpatient_ward,imputed,3,2
0-50,inpatient_ward,imputed,4,2
0-50,inpatient_ward,uncensored,1,3
0-50,inpatient_ward,uncensored,3,2
0-50,inpatient_ward,uncensored,4,1
0-50,intensive_care_unit,censored,3,1
0-50,intensive_care_unit,imputed,2,1
0-50,intensive_care_unit,imputed,16,1
0-50,intensive_care_unit,uncensored,2,1
51+,home,censored,2,19
51+,home,censored,3,21
51+,home,censored,4,15
51+,home,censored,5,12
51+,home,censored,6,31
51+,home,censored,7,30
51+,home,censored,8,28
51+,home,censored,9,22
51+,home,censored,10,21
51+,home,censored,11,19
51+,home,censored,12,3
51+,home,censored,13,11
51+,home,censored,14,11
51+,home,censored,15,5
51+,home,censored,16,7
51+,home,censored,17,2
51+,home,censored,19,4
51+,home,censored,22,1
51+,home,imputed,1,13
51+,home,imputed,2,7
51+,home,imputed,3,4
51+,home,imputed,4,4
51+,home,imputed,5,3
51+,home,imputed,6,6
51+,home,imputed,7,3
51+,home,imputed,8,7
51+,home,imputed,9,7
51+,home,imputed,10,23
51+,home,imputed,11,24
51+,home,imputed,12,26
51+,home,imputed,13,34
51+,home,imputed,14,87
51+,home,imputed,15,47
51+,home,imputed,16,34
51+,home,imputed,17,21
51+,home,imputed,18,14
51+,home,imputed,19,13
51+,home,imputed,20,27
51+,home,imputed,21,1
51+,home,imputed,22,3
51+,home,imputed,23,5
51+,home,imputed,24,4
51+,home,imputed,26,5
51+,home,uncensored,1,13
51+,home,uncensored,2,7
51+,home,uncensored,3,4
51+,home,uncensored,4,4
51+,home,uncensored,5,3
51+,home,uncensored,6,4
51+,home,uncensored,7,3
51+,home,uncensored,8,3
51+,home,uncensored,9,4
51+,home,uncensored,10,8
51+,home,uncensored,11,7
51+,home,uncensored,12,6
51+,home,uncensored,13,8
51+,home,uncensored,14,32
51+,home,uncensored,15,11
51+,home,uncensored,16,13
51+,home,uncensored,17,6
51+,home,uncensored,18,2
51+,home,uncensored,19,6
51+,home,uncensored,20,9
51+,home,uncensored,22,2
51+,home,uncensored,23,2
