day,home,inpatient_ward,intensive_care_unit,death,recovered
0,529,30,7,1,7
1,507,24,7,3,33
2,495,23,8,0,39
3,457,20,10,0,50
4,422,22,9,0,55
5,379,23,9,1,42
6,348,20,9,1,36
7,319,17,8,1,45
8,283,19,8,0,38
9,260,18,9,0,38
10,228,16,9,0,37
11,211,18,7,0,20
12,187,18,7,0,27
13,174,18,7,1,15
14,166,16,8,0,10
15,157,16,8,0,10
16,150,15,8,0,11
17,129,16,8,0,21
18,119,16,7,0,12
19,99,19,6,0,20
20,93,18,5,0,10
21,86,16,5,0,9
22,79,15,5,0,12
23,68,16,4,0,11
24,54,16,3,1,14
25,56,13,3,0,5
26,51,11,3,0,7
27,48,10,3,1,3
28,71,9,3,0,3
0,540,29,5,0,7
1,528,30,4,0,28
2,524,30,4,0,46
3,493,27,5,0,43
4,449,27,6,0,49
5,394,34,4,1,53
6,370,32,5,0,31
7,318,33,8,0,52
8,287,28,8,0,38
9,259,28,7,2,30
10,228,24,5,1,36
11,203,25,5,0,26
12,186,22,5,1,20
13,177,19,5,0,15
14,170,20,5,0,12
15,157,21,3,1,17
16,144,20,2,0,20
17,123,18,2,0,25
18,111,13,2,0,18
19,101,10,3,1,12
20,89,9,3,0,13
21,86,8,2,1,6
22,87,6,2,0,1
23,78,6,2,0,9
24,76,7,2,0,1
25,66,6,2,0,11
26,61,5,1,1,6
27,59,5,1,0,4
28,56,4,1,0,5
0,534,25,7,1,10
1,532,22,7,0,33
2,492,23,8,0,49
3,453,22,10,1,42
4,416,24,10,0,43
5,375,24,9,1,53
6,343,28,8,0,39
7,297,27,9,0,47
8,266,25,10,0,40
9,248,20,11,1,28
10,232,20,11,0,19
11,221,20,11,1,20
12,207,19,12,0,17
13,194,17,12,1,16
14,181,15,11,1,16
15,172,15,10,0,14
16,157,16,11,0,17
17,146,17,9,1,11
18,128,15,9,0,22
19,118,14,10,0,16
20,101,14,11,0,16
21,98,12,11,0,6
22,89,12,11,0,9
23,83,13,9,1,9
24,80,12,9,0,6
25,68,12,9,0,12
26,56,11,9,0,13
27,49,10,9,0,9
28,64,10,8,0,7
0,529,25,7,0,15
1,528,25,6,0,29
2,485,21,10,0,52
